Exploration,Return,Handoff,Environment,Robots,ReportedCoverage,RobotsAtBase,UnreportedCells,Handoffs,SafeScore
trajectory_diversified,selective_courier,payload_progress,env1,5,2.098490294751977,5,0,0,2.098490294751977
trajectory_diversified,selective_courier,returning_courier,env1,5,2.098490294751977,5,0,0,2.098490294751977
trajectory_diversified,selective_courier,link_quality,env1,5,2.098490294751977,5,0,0,2.098490294751977
detour_capped,selective_courier,payload_progress,env1,5,2.0201294033069734,5,0,0,2.0201294033069734
detour_capped,selective_courier,returning_courier,env1,5,2.0201294033069734,5,0,0,2.0201294033069734
detour_capped,selective_courier,link_quality,env1,5,2.0201294033069734,5,0,0,2.0201294033069734
detour_capped,efficient_periodic,payload_progress,env1,5,1.972681524083393,5,0,0,1.972681524083393
detour_capped,efficient_periodic,returning_courier,env1,5,1.972681524083393,5,0,0,1.972681524083393
detour_capped,efficient_periodic,link_quality,env1,5,1.972681524083393,5,0,0,1.972681524083393
detour_capped,periodic,payload_progress,env1,5,2.4169662113587345,4,0,0,1.9335729690869876
detour_capped,periodic,returning_courier,env1,5,2.4169662113587345,4,0,0,1.9335729690869876
detour_capped,periodic,link_quality,env1,5,2.4169662113587345,4,0,0,1.9335729690869876
trajectory_diversified,efficient_periodic,payload_progress,env1,5,1.8950395398993531,5,0,0,1.8950395398993531
trajectory_diversified,efficient_periodic,returning_courier,env1,5,1.8950395398993531,5,0,0,1.8950395398993531
trajectory_diversified,efficient_periodic,link_quality,env1,5,1.8950395398993531,5,0,0,1.8950395398993531
trajectory_diversified,periodic,payload_progress,env1,5,2.00431344356578,4,0,0,1.603450754852624
trajectory_diversified,periodic,returning_courier,env1,5,2.00431344356578,4,0,0,1.603450754852624
trajectory_diversified,periodic,link_quality,env1,5,2.00431344356578,4,0,0,1.603450754852624
voronoi_nearest,selective_courier,payload_progress,env1,5,1.5068296189791517,5,0,0,1.5068296189791517
voronoi_nearest,selective_courier,returning_courier,env1,5,1.5068296189791517,5,0,0,1.5068296189791517
voronoi_nearest,selective_courier,link_quality,env1,5,1.5068296189791517,5,0,0,1.5068296189791517
voronoi_nearest,efficient_periodic,payload_progress,env1,5,1.4759166067577283,5,0,0,1.4759166067577283
voronoi_nearest,efficient_periodic,returning_courier,env1,5,1.4759166067577283,5,0,0,1.4759166067577283
voronoi_nearest,efficient_periodic,link_quality,env1,5,1.4759166067577283,5,0,0,1.4759166067577283
voronoi_nearest,periodic,payload_progress,env1,5,1.4716031631919484,5,0,0,1.4716031631919484
voronoi_nearest,periodic,returning_courier,env1,5,1.4716031631919484,5,0,0,1.4716031631919484
voronoi_nearest,periodic,link_quality,env1,5,1.4716031631919484,5,0,0,1.4716031631919484
