weights,wIG,wC,wR,wL,environment,size,robots,start_x,start_y,max_steps,coverage,policy
0.60/0.15/0.20/0.05,0.6,0.15,0.2,0.05,env1,Small,3,15,15,20,0.014320632638389648,nbv
0.60/0.15/0.20/0.05,0.6,0.15,0.2,0.05,env3,Medium,3,15,15,20,0.004125331820168144,nbv
0.60/0.15/0.20/0.05,0.6,0.15,0.2,0.05,env6,Large,3,15,15,20,0.007742091677549809,nbv
0.55/0.15/0.25/0.05,0.55,0.15,0.25,0.05,env1,Small,3,15,15,20,0.014320632638389648,nbv
0.55/0.15/0.25/0.05,0.55,0.15,0.25,0.05,env3,Medium,3,15,15,20,0.004125331820168144,nbv
0.55/0.15/0.25/0.05,0.55,0.15,0.25,0.05,env6,Large,3,15,15,20,0.007742091677549809,nbv
0.50/0.10/0.35/0.05,0.5,0.1,0.35,0.05,env1,Small,3,15,15,20,0.014241552839683681,nbv
0.50/0.10/0.35/0.05,0.5,0.1,0.35,0.05,env3,Medium,3,15,15,20,0.004161204270778302,nbv
0.50/0.10/0.35/0.05,0.5,0.1,0.35,0.05,env6,Large,3,15,15,20,0.007742091677549809,nbv
0.60/0.10/0.25/0.05,0.6,0.1,0.25,0.05,env1,Small,3,15,15,20,0.014543493889288281,nbv
0.60/0.10/0.25/0.05,0.6,0.1,0.25,0.05,env3,Medium,3,15,15,20,0.004161204270778302,nbv
0.60/0.10/0.25/0.05,0.6,0.1,0.25,0.05,env6,Large,3,15,15,20,0.007742091677549809,nbv
0.50/0.20/0.25/0.05,0.5,0.2,0.25,0.05,env1,Small,3,15,15,20,0.014867002156721782,nbv
0.50/0.20/0.25/0.05,0.5,0.2,0.25,0.05,env3,Medium,3,15,15,20,0.004239471435745918,nbv
0.50/0.20/0.25/0.05,0.5,0.2,0.25,0.05,env6,Large,3,15,15,20,0.008422359147125316,nbv
0.65/0.15/0.15/0.05,0.65,0.15,0.15,0.05,env1,Small,3,15,15,20,0.014335010783608914,nbv
0.65/0.15/0.15/0.05,0.65,0.15,0.15,0.05,env3,Medium,3,15,15,20,0.004125331820168144,nbv
0.65/0.15/0.15/0.05,0.65,0.15,0.15,0.05,env6,Large,3,15,15,20,0.007742091677549809,nbv
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.014867002156721782,nbv
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004223165776377665,nbv
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.008422359147125316,nbv
