weights,wIG,wC,wR,wL,environment,size,robots,start_x,start_y,max_steps,coverage,policy
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.0041677265345256035,nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.006482147667483897,nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.014867002156721782,nbv
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004223165776377665,nbv
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.008422359147125316,nbv
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.014543493889288281,adaptive
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004125331820168144,adaptive
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.007818813572614717,adaptive
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.014227174694464413,gain_per_cost
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004317738600713536,gain_per_cost
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.007731862091541156,gain_per_cost
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.014320632638389648,coordinated
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004125331820168144,coordinated
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.007742091677549809,coordinated
