weights,wIG,wC,wR,wL,environment,size,robots,start_x,start_y,max_steps,coverage
0.00/0.00/0.00/1.00,0.0,0.0,0.0,1.0,env1,Small,3,15,15,20,0.004485981308411215
0.00/0.00/0.00/1.00,0.0,0.0,0.0,1.0,env3,Medium,3,15,15,20,0.0015294708487421814
0.00/0.00/0.00/1.00,0.0,0.0,0.0,1.0,env6,Large,3,15,15,20,0.0015583069353183278
0.00/0.00/0.50/0.50,0.0,0.0,0.5,0.5,env1,Small,3,15,15,20,0.013457943925233645
0.00/0.00/0.50/0.50,0.0,0.0,0.5,0.5,env3,Medium,3,15,15,20,0.004294910677597981
0.00/0.00/0.50/0.50,0.0,0.0,0.5,0.5,env6,Large,3,15,15,20,0.00769946840251375
0.00/0.00/1.00/0.00,0.0,0.0,1.0,0.0,env1,Small,3,15,15,20,0.013457943925233645
0.00/0.00/1.00/0.00,0.0,0.0,1.0,0.0,env3,Medium,3,15,15,20,0.004294910677597981
0.00/0.00/1.00/0.00,0.0,0.0,1.0,0.0,env6,Large,3,15,15,20,0.00769946840251375
0.00/0.50/0.00/0.50,0.0,0.5,0.0,0.5,env1,Small,3,15,15,20,0.004485981308411215
0.00/0.50/0.00/0.50,0.0,0.5,0.0,0.5,env3,Medium,3,15,15,20,0.0015294708487421814
0.00/0.50/0.00/0.50,0.0,0.5,0.0,0.5,env6,Large,3,15,15,20,0.0015583069353183278
0.00/0.50/0.50/0.00,0.0,0.5,0.5,0.0,env1,Small,3,15,15,20,0.004485981308411215
0.00/0.50/0.50/0.00,0.0,0.5,0.5,0.0,env3,Medium,3,15,15,20,0.0015294708487421814
0.00/0.50/0.50/0.00,0.0,0.5,0.5,0.0,env6,Large,3,15,15,20,0.0015583069353183278
0.00/1.00/0.00/0.00,0.0,1.0,0.0,0.0,env1,Small,3,15,15,20,0.004485981308411215
0.00/1.00/0.00/0.00,0.0,1.0,0.0,0.0,env3,Medium,3,15,15,20,0.0015294708487421814
0.00/1.00/0.00/0.00,0.0,1.0,0.0,0.0,env6,Large,3,15,15,20,0.0015583069353183278
0.50/0.00/0.00/0.50,0.5,0.0,0.0,0.5,env1,Small,3,15,15,20,0.014809489575844716
0.50/0.00/0.00/0.50,0.5,0.0,0.0,0.5,env3,Medium,3,15,15,20,0.004210121248883062
0.50/0.00/0.00/0.50,0.5,0.0,0.0,0.5,env6,Large,3,15,15,20,0.007769370573572887
0.50/0.00/0.50/0.00,0.5,0.0,0.5,0.0,env1,Small,3,15,15,20,0.015686556434219987
0.50/0.00/0.50/0.00,0.5,0.0,0.5,0.0,env3,Medium,3,15,15,20,0.004180771062020206
0.50/0.00/0.50/0.00,0.5,0.0,0.5,0.0,env6,Large,3,15,15,20,0.007769370573572887
0.50/0.50/0.00/0.00,0.5,0.5,0.0,0.0,env1,Small,3,15,15,20,0.014414090582314881
0.50/0.50/0.00/0.00,0.5,0.5,0.0,0.0,env3,Medium,3,15,15,20,0.004317738600713536
0.50/0.50/0.00/0.00,0.5,0.5,0.0,0.0,env6,Large,3,15,15,20,0.007407925201267105
1.00/0.00/0.00/0.00,1.0,0.0,0.0,0.0,env1,Small,3,15,15,20,0.014809489575844716
1.00/0.00/0.00/0.00,1.0,0.0,0.0,0.0,env3,Medium,3,15,15,20,0.004210121248883062
1.00/0.00/0.00/0.00,1.0,0.0,0.0,0.0,env6,Large,3,15,15,20,0.007769370573572887
