weights,wIG,wC,wR,wL,environment,size,robots,start_x,start_y,max_steps,coverage,policy
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004242732567619569,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004242732567619569,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.005425090446589627,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.005425090446589627,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,elastic_trajectory
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,elastic_trajectory
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004232949171998617,elastic_trajectory
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004232949171998617,elastic_trajectory
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.005425090446589627,elastic_trajectory
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.005425090446589627,elastic_trajectory
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,clearance_utility
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,clearance_utility
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004099242765178938,clearance_utility
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004099242765178938,clearance_utility
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.005425090446589627,clearance_utility
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.005425090446589627,clearance_utility
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,detour_capped
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,detour_capped
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004242732567619569,detour_capped
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004242732567619569,detour_capped
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.006118997364176672,detour_capped
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.006118997364176672,detour_capped
