weights,wIG,wC,wR,wL,environment,size,robots,start_x,start_y,max_steps,coverage,policy
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004242732567619569,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004242732567619569,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.005425090446589627,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.005425090446589627,trajectory_diversified
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,recent_trail
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,recent_trail
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004242732567619569,recent_trail
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004242732567619569,recent_trail
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.005425090446589627,recent_trail
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.005425090446589627,recent_trail
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,voronoi_nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,voronoi_nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004252515963240521,voronoi_nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004252515963240521,voronoi_nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.006482147667483897,voronoi_nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.006482147667483897,voronoi_nearest
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,3,15,15,20,0.011890726096333574,frontier_reservation
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env1,Small,5,15,15,20,0.011890726096333574,frontier_reservation
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,3,15,15,20,0.004232949171998617,frontier_reservation
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env3,Medium,5,15,15,20,0.004232949171998617,frontier_reservation
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,3,15,15,20,0.005425090446589627,frontier_reservation
0.50/0.25/0.20/0.05,0.5,0.25,0.2,0.05,env6,Large,5,15,15,20,0.005425090446589627,frontier_reservation
